gouvernorat,year,fire_count,area_burned_ha,forest_area_ha,other_forest_area_ha,tavg,tmax,tmin,prcp,wspd,pres,NDVI,NDMI,NBR,brightness,total_frp,confidence,satellite_fire_count
Bizerte,2017,70.0,4394.661,35658.0,55157.0,20.53286713286713,42.0,2.0,0.0,14.014691943127962,1017.0414868105516,0.094025758163819,-0.0660897374072085,0.0061750491913989,355.0376344086022,18648.9,83.74193548387096,93.0
Bizerte,2018,19.0,6.619,35658.0,55157.0,18.727298850574712,41.0,3.0,0.0,14.494134897360704,1015.0937293729372,0.0947695227439494,-0.0669017334355444,0.0035918362439391,329.8370370370371,830.0,73.0,27.0
Bizerte,2019,14.0,1.556,35658.0,55157.0,19.28477011494253,42.0,2.0,0.0,15.56300578034682,1015.6862416107384,0.098347229125622,-0.0631348699786067,0.0087661338421692,328.8453125,1592.3,71.703125,64.0
Bizerte,2020,74.0,526.191,35658.0,55157.0,20.1255980861244,42.0,1.8,0.0,14.671153846153846,1016.8428927680798,0.0904792090091522,-0.0693640606346143,2.52401142479205e-05,337.3282352941177,5177.1,75.48235294117647,85.0
Bizerte,2021,87.0,408.24,35658.0,55157.0,19.581984334203653,47.8,0.0,574.5,14.16840731070496,1016.17362924282,0.0886893859693608,-0.0718744848618185,-0.0046078039416328,332.3452380952381,1226.2,73.16666666666667,42.0
Bizerte,2022,86.0,880.623,35658.0,55157.0,21.52318181818182,43.0,0.9,342.1,14.848636363636365,1016.3361363636365,0.0863358356904102,-0.0767558023252623,-0.0097687039062059,336.88916666666665,7622.0,75.00833333333334,120.0
Bizerte,2023,49.0,539.72,35658.0,55157.0,20.537649880095923,48.6,1.0,509.7,15.532374100719425,1016.1225419664268,0.0802181960599627,-0.0743091638333318,-0.0099798386876476,323.6735632183908,2851.8,66.08045977011494,87.0
Bizerte,2024,61.0,322.0,35658.0,55157.0,20.39020618556701,42.0,3.7,401.6,15.981958762886595,1016.4245382585752,0.0914903142263916,-0.0720165424359133,-0.0059853904440526,323.2375,1606.6,67.16071428571429,56.0
Bizerte,2025,103.0,514.66,35658.0,55157.0,19.78904109589041,43.0,4.6,537.3,14.135068493150683,1016.3150837988826,0.0967184463527816,-0.0661117097889653,0.0089611435498509,323.0436454752181,0.0,65.29756656992024,0.0
Gabes,2015,2.0,1.0,3528.0,3625.0,26.910591801085896,40.739999999999995,14.3,2.0555555555555554,13.165516360070134,1019.06875,0.09203161388121908,-0.06931741078330206,0.0008058387504478475,321.70263005783477,0.0,61.68557775341401,0.0
Gabes,2016,0.0,0.0,3528.0,3625.0,21.125,41.0,4.0,0.0,16.92285714285714,1016.8774193548388,0.0901455429964953,-0.0773824890622776,-0.0013287955210824,322.52989787254387,0.0,61.49336910961134,0.0
Gabes,2017,0.0,0.0,3528.0,3625.0,19.71797752808989,45.0,1.0,0.0,16.05926966292135,1017.5376811594203,0.0951045061672451,-0.0617202097743574,0.0104360193259212,309.575,23.1,53.0,4.0
Gabes,2018,0.0,0.0,3528.0,3625.0,20.51780821917808,46.0,1.0,0.0,16.679656160458453,1015.5976261127596,0.0961742486817793,-0.0651297085902541,0.0056161337745213,306.1,10.1,67.0,1.0
Gabes,2019,0.0,0.0,3528.0,3625.0,20.427671232876712,46.0,1.0,28.2,16.2,1015.884383561644,0.1002479460751851,-0.060724870755043,0.0111096921643075,321.8,13.9,74.0,1.0
Gabes,2020,0.0,0.0,3528.0,3625.0,21.2879781420765,50.0,1.0,201.8,13.518852459016392,1017.1450819672132,0.0909135027810308,-0.067481124063253,0.002497344808492,311.1,18.2,57.5,2.0
Gabes,2021,0.0,0.0,3528.0,3625.0,21.161748633879785,47.0,1.0,27.3,13.901092896174864,1016.6407103825136,0.0905089415386035,-0.069976523009739,-0.0029886042647475,301.5,8.399999999999999,45.0,2.0
Gabes,2022,0.0,0.0,3528.0,3625.0,21.55835616438356,48.0,0.0,41.6,13.199452054794522,1017.3241095890412,0.0894654015287664,-0.0704321845305928,-0.0041194846220551,322.98870284780577,0.0,62.83833935328518,0.0
Gabes,2023,0.0,0.0,3528.0,3625.0,21.31068493150685,49.1,0.0,123.7,13.475616438356166,1016.5893150684932,0.0810327963619667,-0.0732977769976327,-0.009413974795342,320.0,18.5,76.0,1.0
Gabes,2024,0.0,0.0,3528.0,3625.0,21.82861035422344,47.0,-45.0,168.0,13.903814713896455,1016.51553133515,0.0922116467270185,-0.0718625008308613,-0.0051163558008816,312.5333333333333,29.3,72.66666666666667,3.0
Gabes,2025,2.0,0.0,3528.0,3625.0,21.193424657534248,47.9,-45.0,181.5,13.347397260273974,1016.5890410958904,0.0967184463527816,-0.0661117097889653,0.0089611435498509,323.0436454752181,0.0,65.29756656992024,0.0
Gafsa,2015,8.0,4.0525,4063.0,8063.0,32.99649122807018,43.6,14.0,0.0,15.145454545454545,1019.06875,0.09203161388121908,-0.06931741078330206,0.0008058387504478475,338.140350877193,4354.0,71.75438596491227,57.0
Gafsa,2016,0.0,0.0,4063.0,8063.0,22.27674418604651,43.5,2.6,5.8,15.168421052631578,1016.8346153846154,0.0901455429964953,-0.0773824890622776,-0.0013287955210824,331.61428571428576,619.8000000000001,68.71428571428571,7.0
Gafsa,2017,0.0,0.0,4063.0,8063.0,22.654794520547945,46.1,-1.0,136.6,15.075526315789473,1015.903804347826,0.0940390311124614,-0.0658427212403714,0.0064645906501185,335.9613636363636,5152.1,71.38636363636364,88.0
Gafsa,2018,0.0,0.0,4063.0,8063.0,20.349184782608692,46.5,0.0,167.6,15.6272030651341,1015.1868,0.0967319638989017,-0.0651863844246497,0.0058807126987166,314.05555555555554,90.2,63.77777777777778,9.0
Gafsa,2019,0.0,0.0,4063.0,8063.0,21.730123456790125,45.3,-0.3,127.6,15.080446927374302,1015.1342261904762,0.1067532423255143,-0.0595934094204533,0.0131751284377472,335.68333333333334,3664.7,75.77777777777777,54.0
Gafsa,2020,0.0,0.0,4063.0,8063.0,23.54430379746836,45.0,-1.2,122.7,15.14988864142539,1016.47899543379,0.0890543529982996,-0.0722511703806338,-0.0021729925771694,334.9047619047619,7052.0,77.86507936507937,126.0
Gafsa,2021,0.0,0.0,4063.0,8063.0,25.254631379962195,46.1,-3.5,54.9,15.87466918714556,1015.6446124763704,0.0912654901365926,-0.0760615560935878,-0.006761059866235,331.74848484848485,9245.0,72.55555555555556,198.0
Gafsa,2022,0.0,0.0,4063.0,8063.0,21.48780487804878,46.5,-2.8,79.7,14.774525745257453,1017.7897018970192,0.0895129640927529,-0.070680253124283,-0.0042511400412251,331.0111111111111,214.4,70.22222222222223,9.0
